translated_content,sentiment
Well nuff said it works. 5 stars for you sir,neutral
Builds my new PC. Thermals on the chip were high. Over 100°c when benchmarking. Keep closing down the system. Trouble shot my mobile/aio/bios for a couple days. Released it was a hot chip or a bad hot sensor in it. Got the new one today. 81°c Uder full load. Never know what to get. Now I get to wait 30 days for my money back. At least it sorted.,negative
"Since installing this pcu I have been sturgling with system stability. Not painted the wrong down yet, so it may be a false cpu. It could be another device causing the issue of “watchdog code errors” Update The problem was my graphics card, for some reason it needed to move to a different slot, the system is now stable. I also configured the cooling fans to provide better air flow. This cpu can run very hot when over clocking, although no over clocking benchmark tests still rates this pcu very high.",negative
"But you should use a water cooler, with a process elevator, you run very quickly that the processor suffers from overheating.",negative
Top,positive
"Because of the lack of grabo output, and the mazzab that was acquired at the same time, it was not good enough until the mazzabo was able to explain the reason for it. The higher the grabo output, the better the grabo is recognized.",positive
"The core core is the core of the 12th generation of Intel, based on the Alder Lake architecture. It is distinguished by its gravity in 10 nm, its support of PCI 5.0 and Thunderbolt 4, as well as its compatibility with the memory DDR4 or DDR5. It is a major processor without integrated graphics circuit, which involves the use of a dedicated graphics card. The core i-12400F has 6 high performances (P-Core) and 12 threads, thanks to the Hyperreading technology. It displays a base frequency of 2.5 GHz and may reach up to 4.4 GHz in Turbo mode. It is also equipped with the base of 1st century and 1st century's laws.",negative
"For Gaming something weak, however, for a server with computer power up.",negative
If your budget permits...go for 7600k,neutral
I’m very happy with this processor.,positive
"I Did install it on ASUS ROG Maximum Z690 Formula(WiFi 6E)LGA1700, the motherboard is already high price unworthy money & CPU is overpriced, but it has great performance everywhere, Thanks to the seller is trusted!",positive
"I just got into PC building, there are so many chips on the market after 100's of hours watching everyone's favorite youtubers I learned one thing... A lot of chips fit the specs for what you need lol.",positive
The building is: Intel Core i7 13700K+ MSI MAG Z790 TOMAHAWK WIFI Motherboard DDR5 + MSI GeForce RTX 4060 TI VENTUS 3X 8G OC + 2x CORSAIR VENGEANCE DDR5 RAM 32GB (2x16GB) 6400MHz CL32 + Cooler MasterLiquid PL240 Flux CPU Liquid Cooler = Just a Perfect Building!,positive
"My benchmark is mostly at 14k now with no overclocking. nVideo GTX 1080, 65gb 6400 ram and 2gb PCIE5 SSD, Gigabyte Z790 Elite x wifi7 motherboard. I won't need to change this setup for the next decade or so like I did with my last PC. Worth the money, but you'll need the right SSD to go with it.",positive
First time seller sent me the used defective item but after the replacement which Amazon provided without any trouble. They sent me a brand new product. Working good. Good for gambling if pair it with gtk 1050 Or 1660. At least 60 Fps you will get in every title.,positive
"Intel equal warranty, well-packed and functioning 100%",neutral
The Best Product to Do,positive
Must buy for players,neutral
This is the ultimate gambling cpu as of this writing and hard to find.,negative
Firm shipping. Works as notified.,negative
I'm sorry.,negative
"After checking reviews I though this would have been on par with the 3200g. I put fast ram 3600 and better MB, Tuff Gaming B560M-PLUS WiFi. 650w PSU with the 10100. Comparable to my other PC which has a GIGABYTE GA-A320M-S2H MB and a 3200g 550w PSU ram destroys this in performance. Load times and games. I should mention I picked up the 3200g before the cpu prices were insane for 160cad.",negative
"Give me the desired performance, I am satisfied. In temperature issues I gave you a H100i Lcd Corsair and keep it between 26 and 50 degrees.",positive
"But you should use a water cooler, with a process elevator, you run very quickly that the processor suffers from overheating.",negative
Upgrading my previous i5 to a new fast model. Delivery was fast and safe to my address. Had an initial problem which the seller quite well sorted for me with no fuss and very quickly,positive
"I replaced a 7th generation I7 CPU with this one. The difference in performance is dramatic (although I also replaced the MOBO, which contributed to the improvisation).",negative
Read the contents of the folder instead of the pathbar,neutral
bought for my service because he enjoys using it to play games,neutral
"If you need to use the PC all day and you want to play and do things that are not too heavy this processor is perfect. It has a single high core performance and is going strong in the games! Of course you need a graphics card because this is the model F. If you want to spend even less on your younger brother who's going strong the same, the 104400. Both are recommended to do anything!",positive
"Intel equal warranty, well-packed and functioning 100%",neutral
"Blue Tears (represented by Ryzen 7nm) I have had this CPU at 235€ in May and I think I've done the business of the century. I think it's relatively reasonable for a domestic use oriented bleeding. I need to recognize now the superiority of Ryzen 7 on the applicant and calculus, but this processor at 6 hearts does a great job despite all. It really needs to look for the 8 and 12 hearts of AMD to see the scars, but not on the shoulders. In fact, the AMD does not seem to have found its way. Although a little date and a finer size of the body is kept on it.",positive
best price,positive
"In view of the negative reviews of some buyers I was a bit concerned, but in practice there was no problem. And although someone mentioned the lack of the window: in fact INTEL specifies that the processor is sold without a window, unlike previous models. Therefore, in calculating the cost, we also need to set a (good) cooling tower.",positive
"I got this for a new system built even though a little higher than I like to spend. But it has been performed great. After, I noticed a drop in performance and doing research, I found out that these run very hot and the thermal protection had hacked in to",positive
It's usually used. It's not playable enough.,negative
"I was close to give them a bad review but then I found out USBS was the problem with my delivery. If possible, find another shipping method to avoid delays. Product exactly as described, very needed! Now I can finish building my PC. Thank you",negative
Top Processor at an acceptable price,positive
Value for money,neutral
Buy on sale. My rich placed in the 97 percentile. The PC is overclocked. The processor is running cool and stable. No issues yet.,positive
Good product... deliver protection very good....,positive
Used for the exclusive use of internet browsing and multimedia file manipulation. Do your job. Not tested with games.,neutral
Very good processor attention there is the ventilator inside but there is no management of graphics so you have to have a video card for this to go,positive
I like Intel processors. I found this and like it. Working like a charm. Will do overclocking and testing it.,neutral
Got this on sale for 7.26k. Really pleased with processor. Heating of provided looks good but sounds badly at touch use. Replaced it with air cooler,positive
The product comes with a basic Intel box and not with the box presented in the publication. Deceptive for price.,neutral
"Is it worth paying a premium, for the guaranteed performance that you may or may not reach with the 9900K? I generally will hang on to a system for 3-5 years before doing a major upgrade. So, in my case, knowing that I have the best of the best was important. Mine at 5.1 on all hearts without breaking a sweat. It's worth remembering that all the very best 9900K's will serve as the basis for the ""KS"", so your chances of receiving just a mediocre ""K"" will grow dramatically.",positive
"The delivery was well carried out in times, but the cardboard box was slightly attached to the corners. The processor itself is excellent, very good quality/price report. Very pleased",positive
"I've only had it about a month, but so far it's completely overkill for gambling... I haven't seen it go over 50% pushing it as hard as I can other than stress testing lot.",negative
I got the CPU as required goods. After the installation. PC only turns on and off and the CPU LED lights red. Resend the processor.,neutral
Very powerful CPU. Great product!,positive
bought for my service because he enjoys using it to play games,neutral
"It wasn't what I expected, it came from an i7-950 and I expected a better result I sold it and bought me an i9-9800k",positive
"I ordered the cpu, but when it arrived, a lift from the fan was broken.",negative
"Broken box, no close arrangement, useless,don't buy Plus guys",negative
"I installed it on an Assus Maximus Ranger VIII (after a small bios update), it works and is supplied with a fairly basic fan. However, an I3 8100 is stronger and is less expensive, it still needs to have a compatible mother card.",negative
"This CPU is hot and I don't just mean fast, it runs pretty hot even with liquid cooling. But with the right MB, cooling and RAM I think 5ghz may be feasible, pushing it but feasible.",positive
Great work.,positive
"The i7 14700KF is not just a CPU; it's a beast unreaded. This 20-core powerhouse purs like a kitten under normal jobs, staying surprisingly cool thanks to its 7nm architecture. But don't be followed by its initial daemon this CPU is a wolf in sheep's clone, ready to tar through any demanding games and content creation tasks with ease, I paired with an rx 7900 × and forgot about frame rate drops and support.",positive
I'm sorry.,negative
I had this one installed for a year now and I am quite satisfied. It does not have integrated graphics so you will need a dedicated GPU card.,positive
I'm sorry.,negative
I'm not happy with this,negative
"Top processor that makes all games turn very well in big resolution. I'm going to make the streaming and the tests I've performed for the moment are very positive with very little leg. This I5 version can completely rival to old I7 version. The position on the home card and very easy! I don't know, but the fan is included inside with a pad to hit the processor. Its fixing is correct and easy to fix. Very good product, I recommend ►",positive
Top,positive
PC!,neutral
"I bought it to replace my old CPU that was broken, his work does it, both for gambling and for daily browsing. Of course for gambling you didn't expect us to play with recent titles, however GTA5 or even in favor of high performances. The temperature doesn't even get too high with the dissipator already in the box. Already a few months ago, I didn't find any sin (for what I do)",negative
on a lot of wire but use a 360-circuit radar,neutral
"I had a minor helicopter with my new 14900KF, but I contacted Intel and their customer service was fantastic. They sent me a new one and it's working great now. This thing is like a bug saw in gambling. I have a negative offset on the Voltage of -0.0500v and the hottest I've seen it got 62c while playing Horizon Zero Dawn maxed at 4K. It was getting as high as 190 FPS every now and then. This CPU is brutal. Top flight customer service too.",positive
"It's the CPU of the moment for price-quality ratio, depends always on the use you have to do, but also efficient cmq for the gaming obviously not extreme as it is a f and not a k...Perfect for building like mine with 16gb ram DDR4, rtx 4060. Silent with serial dispersion",positive
Writing review for a Christmas present for my son. It was what he specified.,neutral
"Native and total instruction speed, although required video card",neutral
"This isn't the processor for everyone, but it's very fast. The individual colors are significantly different from those in the 13th generation. But if you need a lot of parallel processing then may be the processor for you.",positive
Recommended 100%,neutral
Best for Gaming,positive
"The core core is the core of the 12th generation of Intel, based on the Alder Lake architecture. It is distinguished by its gravity in 10 nm, its support of PCI 5.0 and Thunderbolt 4, as well as its compatibility with the memory DDR4 or DDR5. It is a major processor without integrated graphics circuit, which involves the use of a dedicated graphics card. The core i-12400F has 6 high performances (P-Core) and 12 threads, thanks to the Hyperreading technology. It displays a base frequency of 2.5 GHz and may reach up to 4.4 GHz in Turbo mode. It is also equipped with the base of 1st century and 1st century's laws.",negative
Excellent honey quick delivery by recommending,positive
"I decided to write the review as many questions received for the Desktop components Purchased from Amazon in May 2019... As the former MB and GPU (Had i5 1st gene processor and compatible MB then) got damaged because of lightning, I decided to go for a decent latest configuration which is as follows and after 6 months of use the performance is worthy... 1) Intel Corporation Core i5 9400F 9th Generation Desktop Up to 4.1 GHz Graphics 65W (Directe Graphic for Display) 2) Gigabyte DDR4 SATA 6Gb/s USB 3.1 Micro ATX Motorboard 3DZ-Semerged ascord 2D4",positive
"Good/fast CPU with no ""real"" packaging but it was ~£25 caper than those listed with a box!Who needs a Box eh!",negative
4 star because I didn't get the fancy box,neutral
1. for use this chip graphics card / disposal card required for mother board,neutral
Builds my new PC. Thermals on the chip were high. Over 100°c when benchmarking. Keep closing down the system. Trouble shot my mobile/aio/bios for a couple days. Released it was a hot chip or a bad hot sensor in it. Got the new one today. 81°c Uder full load. Never know what to get. Now I get to wait 30 days for my money back. At least it sorted.,negative
Find Work,neutral
My product is broken and I apply for cancellation no one comes for the replacement of the product. And now it is showing that product replacement window is closed.,negative
"If you want to play a little and do professional things, this would be indicated by the distribution of the kernels you have.",negative
"I checked the middle before I opened it, but cpu had a core i9,9,900x dots, but it's not an old one.",positive
"Everything is blessed according to my expectations. Maybe the price is a little high. Thank you very much, however.",positive
Works - what else is needed? a little expensive.,negative
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
Good cpu!! But honestly it comes near to roots 1500x!! That said this will give 5-6more fps in games but the cpu use will be quite high while the rizens cpu use will be around 50-60ish...that makes it more future trial... Don't go for this... Go for roses! Or wait for acquirer mobo for smart coffee lake cpus... So kaby lake is dead... Intel discounted the mobile compatibility with their 8th gene line!!,positive
Is 50c high? Feels like it to me... under really heavy loads barley is 60. I have liquid cooling cpu & gpu aids and 9 fans.,negative
"In order to find out what happened on the hot run in the Brooklyn screen, the cooling memory exchange, the gravitational exchange, the exchange of electricity, the exchange of power, the loss of power, the result of the same purchase of i5 1360KF, the result of which we need to know immediately, is that this high-value purchase period is short, and because the CPU is not safe, it's still the worst time for me to buy the shortest game ever.",negative
Everything,neutral
It is not good,negative
10/10 buy now!!!!!,neutral
"Very good processor, efficient and my kid used for games. Great performance.",positive
I'm sorry. I'm sorry.,negative
only good.Jhon,neutral
I've got a stacking P0. I want R0 to buy it in the PCshop. I can't tell you that it's Amazon.,neutral
I'm sorry.,negative
"I was in perfect condition, the processor had written exactly what I requested: i9 14900KF. It arrived quickly and well packing.",positive
It works well.,neutral
"From hard disk to SSD, it was speeding up using video cards.",negative
It's a top-of-the-line CPU that will last for a long time. There's nothing to distinguish about it. it replaced a 12 year 3770K!,negative
"If you're going to beat your 8th have i7 friend, where is the deal. 10th gene 4/8 core/thread with 4.3Ghz boost clock won't be a bottleneck for even rtx 2080 t. I can see that my i3 10100 is charged at 30% load when my rx 580 is struggling 100% to catch up with the while gambling.",neutral
There are no texts that have been flying from core7-870 to 12th century.,neutral
"Don’t buy, there’re selling used and defective product.",neutral
"Upgraded from the i7-4790k, no more supporting 40-100 frame increase in games dealers beyond no sweat.",neutral
I'm sorry. I'm sorry.,negative
It's a powerful processor with 6 kernels 12 hills,positive
"I won a fair 20-30 (closer to 20) FPS on average in game after upgrading to 13th gene. If you've got an NVIDIA 30 series card maybe keep the upgrade, but if you've got a 40 series 12th gene could be leaving some performance on the table.",positive
"Was going for a top end 1080p built and from all the reviews I'd read, the 12400F seemed like the best option. Easy to install.",positive
The delivery went well and arrived on time.,neutral
"Good night, quality go on!",positive
There are no texts that have been flying from core7-870 to 12th century.,neutral
This is what is expected of its specifications.,negative
"The product has arrived in complete, perfectly packaged. Once installed it worked immediately without any problems. I am very satisfied.",positive
This is my best buy so far for gambling and editing. It runs great whatever you throw. Excellent performance so far. Cinebench score is 29000 at 125 TDP. Tip: Buy only if you have very good amount of cooler.,positive
performation,neutral
CPU is amazing for it's price. Decent performance compared to the predecessors. Pack it with RX 6600 and you will be happy playing your favorite games without hassle.,positive
"Good and fast processor, notice the increase in speed, 4 kernels help to reduce time of process and energy consumption, come with included fan, good purchase ratio price",positive
"Buy this for my modernity pack coming from an AMD hex-core. This little quad core slips the FX series around most very manner, including low power consumption. Pair this with a decent MoBo and RAM, and you have a great foundation. My only compliment, and it's small, but they don't include any thermal paste in the box, but meh.",positive
Is 50c high? Feels like it to me... under really heavy loads barley is 60. I have liquid cooling cpu & gpu aids and 9 fans.,negative
The have given the used piece,neutral
May be overkill for most buildings since i5 13600k is a very good choice as well.,positive
Value for money,neutral
"This is a great cpu, period. *however* get a thermal right contact plate to replace your mobile's socket clamp. This is a must have item to keep your cpu flat to make close contact with your cooler. It's a 20-dollar part, installs in seconds and can lower your time 10c easy. Thank me later!",positive
Beautiful Fittings,positive
Works - what else is needed? a little expensive.,negative
"I got the product with the open box and other processor that doesn't fit... I'm not the only one that's happened to you, looking for comments there are other people with the same problem.",positive
"With a basic power of 6W and a turbo of 89W the CPU is silenced.It is obvious that if it goes up to 100 per cent in the multi-cent in the case of Ventolin Stock one sitting but, at my notice, ACCOMETABLE.With CINEBENCH 2024 it is 60 degrees max with a HTPC(air flow n'ecceno) case and say otherwise!Possibilities of something DDR5 up to 4800MHZ.conclusion:propossions to your country.",neutral
"Not to be surprised about the power of this processor is a sample of power! Critical point: it warms a lot! I have to put an AIO in 420mm to correctly cool the processor. Second point: it consumes a lot! You always have the possibility to fix at least 125 watts in your bios to look at it (loss 4-8% perf). Actually, if you are a gamer and you do not need gross power turn you into an i5, you will implement the case!",positive
"It's been upgrading for 12 years because it's been missing from RYZEN for 12 years, but it's been missing from RYZEN.",negative
Just what I was looking for,neutral
Yellow,neutral
"I got the processor with the broken security seal, so far everything works right, but I didn't like it that way.",negative
"Works great in my new system. I wouldn't say easy to install, but none are, I always sweat bubbles when I latch down the CPU holder. But other than that stable and powerful. Here's my building, rock stable and fast as hell! Logitech G502 HERO High Performance Wired Gaming Mouse Logitech G910 Orion Spectrum RGB Wired Mechanical Gaming Keyboard DVD Drive, USB 3.0 Portable CD/DVD Drive/DVD Player Master CycleFlow 120 V2 ARG1 Square Foam MasterFan SF60R All-In-One Square Frame Fan w/ 24 Independently-Square Frame FANZZOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOEOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OO OO OOO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",positive
Great article.,positive
"Reached faster than expected, looks brand new and no damage pins/scratches",positive
"Ideal for a gaming use, combined with an RTX 3080 for 4K game. Very low heat consumption in 40 to 50° max in game with a ventirad that is performance but not enormous no more.",negative
Keeps description,neutral
"Be using this cpu for a year now and it's amazing. For every game I play, some of which are known to be cpu intensive, it has only got up to 30% use. Sure it is not a cheap cpu, but it definitely has the processing power despite being an i5. Even when I have stress tested it to 100% use, it still easily stays cool with a glass v5 cooler. More you can bring people that your cpu has 14 colors and 20 logical processors. great cpu, would recommend it",positive
Wrong for my computer. Not usable or honestly reviewed.,positive
"The processor is a piece of cake. No layer you can pair it with to rtx 2070 and gtk 1080ti, no bottleneck will occur. I have used this from at least a couple of years. Not knowing a single issue yet.",negative
"The CPU performance is perfect. I have overclocked the CPU to stable 5Ghz with 1.34V. The CPU is very good for its price and deliverers really good performance. The CPU runs at 28 - 31 degrees idle with the overclock and the highest temperature I have reached is 71 degrees while doing the Intel Burn Test, which stressed the CPU much harder than any benchmarking tool. While playing I have reached maximum of 67 degrees with a convenient Dark Rock Pro 4 cooler. It was an excellent pair to my 2060 Super OC and games run at maximum settings with over 100+FPS",positive
"When a good idea is gone, with many processors now using stock overclocks, you can benefit a lot by choosing a better CPU cooler. I actually thought it was midway since the Thermaltake Silence 12 is rated for 150w. I thought I could go with a 30 cooler since I am planning on overclocking. That cooler could not even keep up with CPU settings. In Benchmarks the 80-Celse up to 90.",positive
Make my son's PC fast.,positive
Excellent!,positive
Good enough to play with and less than $100,positive
"Ideal for a gaming use, combined with an RTX 3080 for 4K game. Very low heat consumption in 40 to 50° max in game with a ventirad that is performance but not enormous no more.",negative
"It is a point of balance between performance and temperature, prefer 12th over 13th for a perfect temperature performance and consumption for current times, in summary a great purchase",positive
to local size you will find it around 27k,neutral
"I put this into my building and it's true. I can play any game with no issues paired with Rx 6600. I would recommend upgrading to a better cpu in a year or 2 like a 12400F, but it's not necessary. If you are building a budget built then this is an awesome choice that it will slow down on you in a year or 2 so's why I'm gonna upgrade to 12400F soon",positive
High-class!!!,neutral
i9 13900k tested on Assus strix z790-e Gamig + Windows 11 pro and all drivers and firmware upgraded to last revision My opinion this product is not so bad to test because so many games don't work with this processor who is loyal to Intel I am quite exhausted by this product. Nobody seems to care I see a lot of people with the same problem without any solution with game problems and directx12 that crash without stop or just crash at startup. No solution has been presented to the public a little consideration of this site. It does more than 30 years I am loyal to Intel but you can already imagine what my next processor will be paying and it will be no longer.,negative
Do the job well why it's been programmed,neutral
I added this Intel Core i9-11900K Desktop Processor to my new 'ROG Maximum XIII Hero motherboard' a year ago. It is a perfect combination for what I wanted = gambling in VR. I have not needed Tech Support so that says a lot about the quality of this and the motherboard working together.,positive
"I like the Core i3 processor for basic systems doing web browsing, core office applications and general computing and basic photo editing. These desktop Core i3 processors are quad Core and 8 threads, which back in the old days was what a Core i5 would provide. Search a processor is great for basic computing and when their prices are reasonable.",positive
Mats,neutral
"Processor taken with the support of a rx 6600 ×. That's what it means, it's perfectly added to my gpu. It's better to take one of these aftermarket because that smart stock is. Excellent cpu!",positive
"Good processor for the price, according to videos I saw before buying it, is equivalent to an i7 7700 in gambling, and i7 7700 in my city, second hand costs about 4500, and without a teacher, I am happy to use it with a gtx 1070 msi gambling quick silver, and cpu goes around 35-40% use and gpu 97-100%",positive
This review is for: Intel Core i5-9600K processor. I will note: THIS CPU DOES COME WITH A COOLING FAN! My former i5-4670K on an ASUS Z97-A Motherboard. This 9600 is its replacement along with an ASUS PRIME Z390-A Motherboard. Times are great...idle around 30 Celsius and under charge no more than 55 Celsius. PC does everything I need and a little more with this processor. I will note: THIS CPU DOES COME A COOLING FAN! My former i5 had come with a fan and I didn't see it listed as one as only no fan. Well there's no Fan's that I already bought a No No No No No I haven'd I had a No No No No I had any more than a No.,positive
The next time you specify that it does not use a mmvrgs graphics card,neutral
"It's just that we've been able to use it because of the fact that we've been dealing with this problem since we've had a lot of problems, but we've been able to use it because it's a little bit of a bit of a bit of a bit of a problem.",positive
"Its good for, watching TV and playing Roblox with the integrated graphics. Nothing more asking you will need a GPU.",positive
"Very good cpu for incoming gamer config/range environment Don't need special cooling and if a ventridad is necessary turn you to the thermalright killingX at ~20€ Trusted seller, fast price delivery consistent with the market, small bemol the cpu box (only the box I know well) arrives a little bit wide me who loves well kept my boxes is an occasion that is missing without alarm signaled",positive
I've bought a CD because I don't know what I'm doing.,neutral
"I've changed little configuration to my PC and I've started this processor on a mother card ASUS PRIME Z490-P, ram Corsair Vengeance DDR4-3200 from 32gb, ssd Samsung 970 EVO from 500 GB, and video card rtx 2070 super and I have to say that it's going great! It's amazing the speed with which first the operating system is now reduced to a few seconds, but the most impressive thing is the speed with which the games are loaded: times of loading a few seconds at the start of a game and a new level. That says the processor is really a bomb!!!!",positive
"Got the CPU on primary day for sale. I didn't actually need the K variant because I don't plan on overclocking but it was actually hungry than the F variant during the sale. So far it's been working wonderfully, with no issues and I saved $127. Big upgrade from an i5-4570. For gambling processes this chip is probably a little overkill but it was so get I couldn't pass it up. However since I had to change the mother board and all it's components for it, which all were not on sale, I still up spending $670 for this chip. Debate if it was really about it but I'm happy with the performance.",positive
All good works as should be happy with purchase,positive
"I seriously doubt I'll be replacing this in the next several years, if even that. This thing is a beast and trades everything you throw at it. I've put it through all of the usual headlines and it barely seems to notice. I've set it up with the Arctic Liquid Freezer II 420 A-RGB to deal with the heat and it handles that just fine.",negative
Used in a Z490 Divine with its PCIe 4 card for improvised performance.,neutral
"First I started with the assignment: I asked for it almost mid-September and had a date of arrival for 1 October by paying the dearest shipment (at that time it stayed between 3 to 5 days in a row). When I arrived at the delivery date, there appeared to me a notification of ""will come today"", but the product didn't even have ""sent"". The next day, they warned me that the product no longer had a date to send and that it would only inform me of it. During the course, I was almost exhausted with almost 1 month and half of the time since it was bought by ENVIO MÁS RAPIDO. After all this situation, I saw that the price was reduced to 5 times.",negative
Cool Processor,positive
"Buy it as cpu by my son's first computer and it was a very good purchase, the games are great together with a graphic rtx 3080.",positive
"This processor is a true and its own power to meet the needs of players, professional users and those looking for maximum performance in its PC. With a base frequency of 3.6 GHz and a maximum boost frequency of 5.0 GHz, it is ideal for activities such as video rendering, gaming and multimedia production. For the most demanding players, CoreTM i7-14700KF offers outstanding graphic performances thanks to the compatibility with the most recent graphics and technologies such as Intel® Deep Learning Boost, which improves the performance of artificial intelligence in games and virtual reality.",positive
"I like the delivery being really fast. I measured up on the payment info and wasn't able to get it the same day like promised but Amazon got it to me next morning instead. So, that was nice and I appreciated the fact that they got it to me as fast even though they probably could have just said, ""No, you didn't pay anyway, so not the same day shipping."" So, that was nice.",positive
There's no problem right now.,positive
I get what i want Good product I am satisfied,positive
"I bought this along with the MSI Z490 Unify as an upgrade from my Ryzen 7 3700X. This thing is an absolute monster that runs any game I throw at it at 144fps if my gpu can keep up. It's crazy. People told me I wouldn't see many winning from Ryzen but in some of my favorite games I was getting 60%+ higher frames. Games perform amazingly well and I notice my loading screens all seem more than 20% faster than my old chip as well. Everything is just bigger and faster, there's less waiting time, and I didn't have any bios issues or anything at all.",positive
Find Work,neutral
Now.,neutral
"Nothing to say about this little show. I strongly recommend buying the series 13 and not 14, the last thing really is too current... are passed from i9-14900k to 13900k for this thing.",positive
"A very good processor, its price is very reasonable, does not consume too much, does not heat too much (ventirad with very good). It has a boost option making it pqser to 4GHz compatible with not bad parent card. Go there close your eyes.",positive
"The processor was delivered in just a cardboard box rather the official box show in the listing, but other than that it works just fine and is exactly what I wanted!",positive
to local size you will find it around 27k,neutral
"Got one for each kid. Very grateful I bought them over the roses 7600 and 7700. Card is a beast for gambling and smoking the Ryzens in multiple tasking eqsoly.and even gambling, especially when overclocked. Does great on an AK620 zerodark. Nabbed money for lock 230 or 250 on sale. Worth every penny.",positive
Happened in time and the product is very performance one of the best processors of the perfect moment for today's games that are often cpu-bound!,positive
performance is worse than my 12900K bad run at high clocks.. time are bad too. This one is going back..,negative
Working fine and great performance,positive
"Play Video Looks really solid, can't wait to get the rest of my components in and build my PC",neutral
"A very powerful processor, but if it does not have good cooling, its functions will be limited. Currently it is working wonders together with the other components. But if they have a moderate cooling system, it is advisable to use the other brand of processors ""AMD"" that has half the temperatures, but with 10% to 20% less performance in some activities, and with the defects that come with not having an architecture that self-protection well or don't update its software often for better operation. Finally, I recommend the processor, only if you have a processor that does not meet current needs. My I7 6700k can do it all, but for some specific technologies, search as SSD Gen 4, peripherals with it",positive
"Despite the fact that Ryzen processors can have the cut, for my upgrade, I have stayed with Intel once more. Not exhausted from performances and complete my profile with a mother card Asus Tuf Gaming Z490-Plus WiFi, SSD M2 WD, a PSU Corsair RM650, Assual RTX 2060 OC and RAM 2x8G Kingston 3200 Predator. Very quick and fast in my games. Very pleased with my choice to install a new machine.",positive
Value for money,neutral
"This cpu is fast for gambling but for some reason it was crashing I check everything on my Ridge to be compatible and it was, put a different cpu and problems are gone am not sure if it was defective or what but other than the crashing out of nowhere with the one I had excellent cpu, now let's see how it goes with the return will edit once everything is handled I had a small experience with Amazon that I don't wish to nobody still waiting on that for few months already",positive
"The CPU is used, it was in open box, without stamps, maltreated and dirty, obviously not in the q box is shown in the publication, which dissipation, is buying a new product nothing cheap",negative
Cold and fast forget that it's getting hot,negative
"Dispatch, but good. By buying, this is cheaper than the 114400 and the only difference is that this does not support Pci of the fourth generation.",positive
It doesn't come with the fancy box. It doesn't come with a cpu of that comes with the fancy box.,neutral
"Good night, quality go on!",positive
"I came to call on the product that the seller sent me and canceled the appeal, as there may be a seller where you send u. Product damaged and still continues to be as seller of the Amazon page. Please return my refund.",neutral
I had many stability issues it is unrealistic. I did not overclock but had much trouble with the system that I stupidly replaced the board and video card. I didn't deny that I had done the damage. Literally months of troubleshooting and double expenses before I realized that the ass board defaulted to super high charge and the chip itself began to sink at an extremely fast rate. Yet I must have done something wrong with this replacement yet. This is about when the news dropped on mainboarders and those inside the,negative
Excellent for beginners and students,positive
The CPU runs and runs and runs. The built-in is always very simple with CPUs.,neutral
It's good to buy something you can't buy.,positive
"I didn't open the processor's box until I joined all the pieces for the computer, and I was surprised that the product wasn't coming, the processor was missing. The case came with a seal, but because it turned out false, my error when I didn't open the box when it arrived, passed the period of 30 days and then I lost that money. They're only careful who buy it.",negative
"I bought this processor to set up a game PC for my son and I am very pleased. A quality-price report is hard to beat. The processor in this version (f) does not have a graphics chip. So it needs to buy a separate graphics card. This I3 12100f has only four hearts and eight threads, which can limit its performance in more serious tasks such as video performance or high-level game. It does not take overlocking, which means that you cannot increase the CPU's clock speed beyond its base specifications. But at this price, it remains a strong choice for those who have a limited budget and who are looking for a platform.",negative
Personal cpu for budget buildings,neutral
"This will not work without graphics card, so be careful before ordering.",negative
"Upgrading to the Intel1300KF Desktop from my Ryzen 5800 has been a game-changer for my computer experience. This powerhouse of a processor, with its 14 colors (6 P-cores) and a substantial 24M cache, has significantly increased the performance of this system. The ability of this CPU to turbo up to 5.1 GHz is particularly impressive, contributing to a remarkable improvisation in speed and all the systems responsible. Everything I'm running in high-end gaming, the i5-3KF trades it with an immediately noticeable effect on the",positive
"Very good processor, fast and functional; the only detail is that as you don't wear fan, I installed it separately by buying a Cooler Master RR 212S 20PK R1 Hyper 212 and it was perfect.",positive
Plan on buying a separate cpu cooler because the one that was included is bad quality and easily broken so unless you are an incredibly caring person order a separate cpu cooler but the cpu is great value for the money,positive
"Do your duty, used on a msi 560, with rtx 3060 (found at top to 720 euros!) Fill in full the game requirements. There is an air-discharger with the thermal pasta already applied and a adaptor with the processor's length, in this case i5.",positive
"Over I5 13,500 out of 15 per cent",neutral
Quality product,neutral
"Good Product, fast delivery",positive
"It's been upgrading for 12 years because it's been missing from RYZEN for 12 years, but it's been missing from RYZEN.",negative
Must buy for players,neutral
